iso3,country_name,region,population,prevalence_per_1k,estimated_number,vulnerability_total,govt_response_total
NLD,Netherlands,Europe and Central Asia,17135000,0.5684135556221008,10000.0,5.964194030445371,66.66666412353516
NZL,New Zealand,Asia and the Pacific,4822000,1.611743211746216,8000.0,7.816283510458578,53.84615325927734
NIC,Nicaragua,Americas,6625000,7.343417167663574,49000.0,53.92314317197637,35.89743423461914
NER,Niger,Africa,24207000,4.645125389099121,112000.0,75.84613659508516,37.17948532104492
NGA,Nigeria,Africa,206140000,7.81476354598999,1611000.0,75.78220042253054,53.84615325927734
PRK,North Korea,Asia and the Pacific,25779000,104.6,2696000.0,67.01499449667587,-2.564102649688721
MKD,North Macedonia,Europe and Central Asia,2083000,12.60249519348145,26000.0,38.11045542186494,57.69230651855469
NOR,Norway,Europe and Central Asia,5421000,0.5151357054710388,3000.0,1.0,62.82051467895508
OMN,Oman,Arab States,5107000,6.500495535800399,33000.0,40.29191920598753,38.46154022216797
PAK,Pakistan,Asia and the Pacific,220892000,10.63333225250244,2349000.0,80.27600465070682,37.17948532104492
PLW,Palau,Asia and the Pacific,0,,,,26.92307662963867
PAN,Panama,Americas,4315000,4.661962509155273,20000.0,33.49507494641909,51.28205108642578
PNG,Papua New Guinea,Asia and the Pacific,8947000,10.34617519378662,93000.0,78.7456428859309,30.76922988891602
PRY,Paraguay,Americas,7133000,6.417139530181885,46000.0,47.48617217162468,48.71794891357422
PER,Peru,Americas,32972000,7.098518371582031,234000.0,46.95143374664541,55.12820434570313
PHL,Philippines,Asia and the Pacific,109581000,7.842455863952637,859000.0,66.35549546739269,58.97435760498047
POL,Poland,Europe and Central Asia,37847000,5.510272026062012,209000.0,18.9866788321338,55.12820434570313
PRT,Portugal,Europe and Central Asia,10197000,3.813815355300903,39000.0,6.230505333450044,66.66666412353516
QAT,Qatar,Arab States,2881000,6.804503562827048,20000.0,38.43358816890134,48.71794891357422
COG,Republic of the Congo,Africa,5518000,7.990757942199707,44000.0,76.79932769368234,28.20512771606445
ROU,Romania,Europe and Central Asia,19238000,7.549961566925049,145000.0,25.88511146501303,57.69230651855469
RUS,Russia,Europe and Central Asia,145934000,13.01579189300537,1899000.0,59.89323334347669,24.35897445678711
RWA,Rwanda,Africa,12952000,4.252303600311279,55000.0,52.93682500368358,50.0
LCA,Saint Lucia,Americas,184000,,,,51.28205108642578
VCT,Saint Vincent and the Grenadines,Americas,111000,,,,44.87179565429688
SAU,Saudi Arabia,Arab States,34814000,21.26152055941187,740000.0,52.52693922776848,48.71794891357422
SEN,Senegal,Africa,16744000,2.941902160644531,49000.0,52.85804597239245,39.74359130859375
SRB,Serbia,Europe and Central Asia,8737000,7.015529632568359,61000.0,34.40828436312224,56.41025543212891
SYC,Seychelles,Africa,98000,,,,33.33333206176758
SLE,Sierra Leone,Africa,7977000,3.402239561080933,27000.0,55.3283512620345,33.33333206176758
SGP,Singapore,Asia and the Pacific,5850000,2.133502960205078,12000.0,24.37726324845873,47.43589782714844
SVK,Slovakia,Europe and Central Asia,5460000,7.651405811309814,42000.0,16.3875057300348,57.69230651855469
SVN,Slovenia,Europe and Central Asia,2079000,4.448514461517334,9000.0,8.860574779786777,56.41025543212891
SLB,Solomon Islands,Asia and the Pacific,687000,,,,30.76922988891602
SOM,Somalia,Africa,15893000,6.173291206359863,98000.0,98.36658293844785,17.94871711730957
ZAF,South Africa,Africa,59309000,2.662498235702515,158000.0,52.19647760057009,52.56410217285156
KOR,South Korea,Asia and the Pacific,51269000,3.502935409545898,180000.0,28.60360372429959,38.46154022216797
SSD,South Sudan,Africa,11194000,10.29315185546875,115000.0,100.0,
ESP,Spain,Europe and Central Asia,46755000,2.312372207641602,108000.0,10.37075274872592,62.82051467895508
LKA,Sri Lanka,Asia and the Pacific,21413000,6.470595836639404,139000.0,55.74424337266002,48.71794891357422
SDN,Sudan,Africa,43849000,3.974432945251465,174000.0,82.44609683714181,25.64102554321289
SUR,Suriname,Americas,587000,,,,30.76922988891602
SWE,Sweden,Europe and Central Asia,10099000,0.5693487524986267,6000.0,7.408663581648714,62.82051467895508
CHE,Switzerland,Europe and Central Asia,8655000,0.4981281459331512,4000.0,13.63821269940874,50.0
SYR,Syria,Arab States,17501000,8.733797199233372,153000.0,83.36540207865447,
TWN,Taiwan,Asia and the Pacific,23817000,1.68527090549469,40000.0,21.33333581231985,47.29729843139648
TJK,Tajikistan,Europe and Central Asia,9538000,13.95576953887939,133000.0,66.5189308865272,35.89743423461914
TZA,Tanzania,Africa,59734000,2.85969066619873,171000.0,53.25923415064766,42.30769348144531
THA,Thailand,Asia and the Pacific,69800000,5.741637706756592,401000.0,46.47405711479566,55.12820434570313
