iso3,gdp_per_capita,population,urban_share,unemployment,youth_dep_ratio,gini,year
LVA,20261.8887788916,1884490,68.1808791463693,7.513,25.3430315171367,33.7,2021
MAC,44884.8961602393,682500,100.0,2.221,19.5881935812857,,2021
MAF,21668.3776525323,29961,100.0,,33.4621492853362,,2021
MAR,3785.93627929688,36954442,62.3173276600289,10.551,40.4626943380251,,2021
MCO,223823.363960226,38527,100.0,,25.6242197253433,,2021
MDA,5274.60582195352,2595809,41.8115425109863,0.794,30.9196947023442,25.9,2021
MDG,483.469463351195,29691083,31.1137123216036,3.498,70.837377069528,36.8,2021
MDV,10176.143882547,516154,40.7398648710483,5.016,27.5782313275206,29.3,2021
MEA,5615.91186098726,767578451,54.8188568175474,9.00366611562493,53.6094765567519,,2021
MEX,10314.0506722115,127648148,78.9324007418057,4.019,38.4421117369035,43.5,2021
MHL,6315.31279603534,41367,77.6163157431143,,55.790174723811,35.5,2021
MIC,6007.32308658146,5802247321,53.9265957422304,6.1975169341469,39.1623889653487,,2021
MKD,7620.80296977508,1837114,61.6841975628139,15.801,26.0727824109174,33.5,2021
MLI,1027.27345365357,22388630,29.7049638253978,4.006,93.1088368786425,35.7,2021
MLT,38096.8360735119,518150,95.5145343617045,3.754,19.4496397058615,34.6,2021
MMR,1242.7213439951,53387102,30.2368812529698,4.34,36.4687191734309,,2021
MNA,2753.47858029524,704458802,51.9157887433595,9.6948074926195,55.8773176899741,,2021
MNE,9317.15520065156,625053,65.3266031317675,16.543,28.6170679095662,34.3,2021
MNG,4517.61578018785,3383741,69.2153244018555,7.871,52.5518688544389,31.4,2021
MNP,19455.50139424,46979,91.7842137303802,,33.2551123030506,,2021
MOZ,509.907829475551,31707800,34.4499259401554,5.413,86.4749562442866,49.6,2021
MRT,1947.78918383313,4734874,57.901535141641,11.131,82.0364959589078,32.0,2021
MUS,9177.71195973013,1266334,39.077147315722,7.719,21.9924548933844,,2021
MWI,617.446994451007,20047258,16.4881925800694,5.652,77.6086151675351,38.5,2021
MYS,10903.1037480772,34282399,75.5088628191907,4.64,33.5878120596581,40.7,2021
NAC,68424.560031595,370404272,80.2350393397056,5.59210979982087,27.3572236574925,,2021
NAM,4412.8355693052,2810548,49.0571881483796,20.931,63.2061272750916,,2021
NCL,35311.5543551452,285214,67.4130776539646,11.574,32.6547476742373,,2021
NER,608.722439593808,24502140,17.2295936666686,0.806,95.7798373028737,32.9,2021
NGA,2787.48779224428,218529286,60.5698545383604,5.404,77.6246977306668,33.9,2021
