country,country_name,region,observed_prevalence_per_1k,vulnerability_total,govt_response_total,gdp_per_capita_log,population_log,urban_share,unemployment,gini,youth_dep_ratio,press_freedom_score,year,wgi_rule_of_law,wgi_government_effectiveness
LVA,Latvia,Europe and Central Asia,3.378555059432983,16.83542015269315,58.97435760498047,9.916546352973574,14.449168315875323,68.1808791463693,7.513,33.7,25.3430315171367,80.74,2021,0.5665600321981388,0.2084637268700159
LBN,Lebanon,Arab States,7.567281429788705,59.97991052358088,33.33333206176758,8.305576428351998,15.559151162650874,89.965362045441,12.715,35.5,43.7423310672882,65.07,2021,0.1056362955120654,-0.1149172967331385
LSO,Lesotho,Africa,1.646948337554932,59.40494354074929,39.74359130859375,6.973155726777521,14.631557881648082,40.6551760851997,18.214,34.2,58.7238136781976,68.39,2021,-1.1581951980909893,-1.4843186006815778
LBR,Liberia,Africa,3.14580249786377,56.064437896472,41.02564239501953,6.505733393886854,15.475513059344594,53.9224618859098,3.844,34.2,73.3832410197848,66.64,2021,-0.6958954729910619,-0.2649870382320304
LBY,Libya,Africa,6.821667194366455,80.29537378734653,10.25641059875488,8.504478273056792,15.780547475722692,87.8365018271835,19.779,34.2,43.7426615598026,44.27,2021,-0.0572171220138368,0.4257148263253653
LTU,Lithuania,Europe and Central Asia,6.085984230041504,21.26974150587318,57.69230651855469,10.080438860537539,14.848118718684313,68.1912117004395,7.112,36.6,23.2666025530664,79.85,2021,0.6897571559133694,0.2439400194037125
MDG,Madagascar,Africa,4.572755336761475,59.62871737089615,42.30769348144531,6.183054402205611,17.20635735668308,31.1137123216036,3.498,36.8,70.837377069528,71.76,2021,-1.8681199342479644,-2.035812833529107
MWI,Malawi,Africa,4.865484237670898,54.87604283540575,38.46154022216797,6.427211488000021,16.813602994142006,16.4881925800694,5.652,38.5,77.6086151675351,71.2,2021,-1.9869054671175808,-2.318768477531898
MYS,Malaysia,Asia and the Pacific,6.255043506622314,37.15885008690078,44.87179565429688,9.296894488011699,17.35014266091176,75.5088628191907,4.64,40.7,33.5878120596581,60.53,2021,-0.1028393666877115,-0.3817116992385926
MLI,Mali,Africa,5.233090400695801,72.71234300654032,30.76922988891602,6.935636416141502,16.924063843338033,29.7049638253978,4.006,35.7,93.1088368786425,66.5,2021,-0.9512609597691972,-1.7880359041772649
MRT,Mauritania,Africa,32.01548385620117,66.12226331919237,34.61538314819336,7.5749635273324465,15.370465885098625,57.901535141641,11.131,32.0,82.0364959589078,67.75,2021,-0.5345915044006447,-0.8238160409501561
MUS,Mauritius,Africa,1.507123351097107,19.93046737136174,35.89743423461914,9.124642164372663,14.051637459636613,39.077147315722,7.719,34.2,21.9924548933844,71.26,2021,0.808486749404004,1.1167126944037609
MEX,Mexico,Americas,6.589330673217773,58.08316401415551,55.12820434570313,9.241359337971376,18.664788200959087,78.9324007418057,4.019,43.5,38.4421117369035,53.29,2021,0.0684853004227217,-0.0420649884588898
MDA,Moldova,Europe and Central Asia,9.474068641662598,35.97742784174802,47.43589782714844,8.570848799513469,14.769409164605293,41.8115425109863,0.794,25.9,30.9196947023442,68.39,2021,0.5883188664494747,0.7858622502605498
MNG,Mongolia,Asia and the Pacific,4.044466495513916,50.12350020691984,39.74359130859375,8.415960982602943,15.034492755666996,69.2153244018555,7.871,31.4,52.5518688544389,71.03,2021,-0.307996667437044,-0.4238877198459531
MAR,Morocco,Africa,2.292283058166504,44.31475703230105,39.74359130859375,8.239312601590939,17.4251964417022,62.3173276600289,10.551,34.2,40.4626943380251,56.06,2021,0.3161517543574006,0.8127367680195974
MOZ,Mozambique,Africa,2.974953413009644,67.14662783066453,44.87179565429688,6.236189201088286,17.272073296900817,34.4499259401554,5.413,49.6,86.4749562442866,64.61,2021,-1.8539421290239744,-1.6087825212174198
MMR,Myanmar,Asia and the Pacific,12.07966709136963,67.43775615436518,42.30769348144531,7.125863248203438,17.7930797579066,30.2368812529698,4.34,34.2,36.4687191734309,53.86,2021,-1.3677810344277348,-1.3456036186280054
NAM,Namibia,Africa,2.351321458816528,46.9669209138301,43.58974456787109,8.392499334039707,14.84889039589246,49.0571881483796,20.931,34.2,63.2061272750916,80.28,2021,-0.1091410006855854,0.6675003069942974
NPL,Nepal,Asia and the Pacific,3.322043418884277,46.35864725919419,44.87179565429688,7.133894951295787,17.199053377585265,66.144235274522,12.241,30.0,45.5009112658793,65.38,2021,-0.6555245073235465,-0.6873136134768236
NLD,Netherlands,Europe and Central Asia,0.5684135556221008,5.964194030445371,66.66666412353516,11.004480140894351,16.679597944037692,94.6294783220315,4.209,25.7,23.8807861681462,90.33,2021,1.6381357819835358,1.1079551988673413
NZL,New Zealand,Asia and the Pacific,1.611743211746216,7.816283510458578,53.84615325927734,10.818806315584219,15.441727118309478,83.8299382585905,3.776,34.2,28.975159107884,89.96,2021,1.2127902022626582,1.1520841826244257
NIC,Nicaragua,Americas,7.343417167663574,53.92314317197637,35.89743423461914,7.668274097063264,15.709336423190626,58.8592529296875,6.076,34.2,46.3935181431637,60.02,2021,-1.239857314365856,-1.1275220944966944
NER,Niger,Africa,4.645125389099121,75.84613659508516,37.17948532104492,6.41300383655635,17.01427105945197,17.2295936666686,0.806,32.9,95.7798373028737,71.56,2021,-2.1207524275704843,-1.588779818863559
NGA,Nigeria,Africa,7.81476354598999,75.78220042253054,53.84615325927734,7.933254717926634,19.202430600131088,60.5698545383604,5.404,33.9,77.6246977306668,60.31,2021,-0.3214358354671434,-0.5657824292697724
MKD,North Macedonia,Europe and Central Asia,12.60249519348145,38.11045542186494,57.69230651855469,8.938768230899615,14.423706964306426,61.6841975628139,15.801,33.5,26.0727824109174,68.33,2021,0.5596816332926839,0.7451285494072648
NOR,Norway,Europe and Central Asia,0.5151357054710388,1.0,62.82051467895508,11.441148999792414,15.503449251452285,82.8612877226956,4.359,26.9,26.1613022906715,93.28,2021,1.8060590335809203,1.881277671395116
OMN,Oman,Arab States,6.500495535800399,40.29191920598753,38.46154022216797,9.873258216362032,15.319682394725398,80.1239942103569,1.9,34.2,37.7946970332928,56.63,2021,0.3718793180614023,0.134385198674741
PAK,Pakistan,Asia and the Pacific,10.63333225250244,80.27600465070682,37.17948532104492,7.28366745177349,19.29397128575983,37.9333395514173,6.338,29.6,64.4007952670343,53.14,2021,-0.616662829718568,-0.5060233450299079
PAN,Panama,Americas,4.661962509155273,33.49507494641909,51.28205108642578,9.649292280118019,15.284629753052794,65.8092302689169,10.177,50.9,39.7919608549134,70.06,2021,0.1366014828182946,-0.126284252519836
PNG,Papua New Guinea,Asia and the Pacific,10.34617519378662,78.7456428859309,30.76922988891602,7.866560761454091,16.119384520009646,14.4398342822353,3.03,34.2,55.1205723822279,75.12,2021,-0.8532576525630254,-0.0641894651545226
PRY,Paraguay,Americas,6.417139530181885,47.48617217162468,48.71794891357422,8.695829933929604,15.71525454713771,67.3058612772421,7.311,44.6,44.7934833885474,66.48,2021,0.2463879241030289,0.0105072630086759
PER,Peru,Americas,7.098518371582031,46.95143374664541,55.12820434570313,8.828670286839683,17.316730724914255,83.9480118272361,5.097,40.3,38.0306341699685,68.29,2021,-0.81140654132394,-0.8661882202921602
PHL,Philippines,Asia and the Pacific,7.842455863952637,66.35549546739269,58.97435760498047,8.156334059911922,18.543791349539063,54.4504102510776,3.398,40.7,46.0999347647852,54.36,2021,-0.2157000737290614,-0.5138814729451677
POL,Poland,Europe and Central Asia,5.510272026062012,18.9866788321338,55.12820434570313,9.832877865219565,17.42592996799834,59.8096513205543,3.268,28.9,23.4264752303625,71.16,2021,0.5414076334801461,0.3834304875801794
PRT,Portugal,Europe and Central Asia,3.813815355300903,6.230505333450044,66.66666412353516,10.115062484926016,16.15363961313916,61.0951249296597,6.712,36.3,20.6808072078681,89.89,2021,1.0103787554033028,0.9075780718539012
QAT,Qatar,Arab States,6.804503562827048,38.43358816890134,48.71794891357422,11.180984057382188,14.733763762927818,99.203408908243,0.14,34.2,18.6919562612343,57.4,2021,1.6639227105431975,1.7278671800922838
COG,Republic of the Congo,Africa,7.990757942199707,76.79932769368234,28.20512771606445,7.830887574478043,15.589137284861842,63.6179125824196,21.998,34.2,74.6398403667856,61.17,2021,-0.5115331116908979,-0.6435257943415179
